"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.621142083E0,1.085564457E-1,-2.407471177E-1,-1.562519864E0,1.584680410E0
2.631112083E0,-3.537630885E-1,-2.529967969E-1,-9.627370405E-1,1.056417678E0
2.641082083E0,-3.416696944E-1,1.420976552E-1,2.988886142E-1,4.756725001E-1
2.651052083E0,-4.513678820E-1,-3.071764394E-2,6.468242580E-1,7.893403317E-1
2.661022083E0,-3.538529164E-1,-1.422164542E-1,7.603766012E-1,8.506526800E-1
2.670991083E0,-2.841684680E-1,-2.139424579E-1,-7.706337869E-2,3.639530984E-1
2.680961083E0,-6.361902192E-2,-3.660933041E-2,-6.277518100E-1,6.320284471E-1
2.690931083E0,2.413725505E-1,3.506070539E-1,5.538891971E-2,4.292481180E-1
2.700901083E0,1.283114099E-1,4.109433393E-1,3.159303242E-1,5.339945840E-1
2.710871083E0,4.434418716E-2,3.730135843E-1,-2.079679191E-2,3.762154270E-1
2.720840083E0,1.694801570E-1,3.194755276E-1,-9.722299951E-1,1.037313501E0
2.730810083E0,8.153448869E-2,2.036203315E-1,-6.669199687E-1,7.020622173E-1
2.740780083E0,2.161578217E-1,2.091830071E-1,6.307619566E-1,6.988149828E-1
2.750750083E0,8.292996325E-2,2.416940012E-1,1.180451099E0,1.207790613E0
2.760720083E0,-8.303013336E-2,-1.742697529E-3,4.392106801E-1,4.469933574E-1
2.770690083E0,-1.602998091E-1,1.193748179E-1,-5.116553432E-1,5.493064410E-1
2.780659083E0,-3.582060588E-1,2.593736242E-1,-1.523375094E-1,4.677531125E-1
2.790629083E0,-1.536197307E-1,1.394363590E-1,-1.818592241E0,1.830387735E0
2.800599083E0,-1.694800473E-1,5.873623871E-1,3.830160141E-2,6.125235284E-1
2.810569083E0,-4.203600609E-1,7.353328669E-2,6.789108539E-1,8.018913097E-1
2.820539083E0,5.816465876E-1,-1.585033252E-1,6.700032055E-2,6.065682978E-1
2.830509083E0,5.806851226E-1,-8.752565548E-2,6.696564656E-1,8.906715074E-1
2.840478083E0,2.843734495E-1,-2.413494175E-1,8.398069328E-1,9.189088554E-1
2.850448083E0,3.556707792E-2,-2.704189232E-1,5.919668502E-1,6.517792285E-1
2.860418083E0,-1.582755031E-1,-1.881875195E-1,-1.102855039E0,1.129935801E0
2.870388083E0,2.996211972E-1,1.298859098E-1,-1.053002263E0,1.102477654E0
2.880358083E0,-5.334123210E-1,2.055259757E-1,8.554230917E-1,1.028843184E0
2.890328083E0,-3.860612075E-1,-4.040068788E-2,-6.754756147E-1,7.790653230E-1
2.900297083E0,-2.050546170E-1,-2.190131816E-1,-5.814026856E-1,6.542501452E-1
2.910267083E0,-4.560926881E-2,-3.147188177E-1,7.767166454E-1,8.392954705E-1
2.920237083E0,1.269080051E-1,-8.305669251E-2,1.462940027E0,1.470781282E0
2.930207083E0,7.588512819E-2,-9.341745615E-2,7.813026166E-1,7.905182809E-1
2.940177083E0,1.757261893E-1,6.421415427E-2,-1.095505673E0,1.111366650E0
2.950147083E0,3.754933153E-1,3.246818838E-2,-1.834588469E0,1.872902631E0
2.960116083E0,4.762192429E-1,-6.557005963E-2,-9.194793391E-1,1.037557929E0
2.970086083E0,8.521721859E-1,2.500287686E-3,1.325244530E0,1.575587748E0
2.980056083E0,5.318398220E-1,-1.070356854E-1,2.157648888E0,2.224805376E0
2.990026083E0,3.358895756E-1,-2.853729031E-1,3.673846525E-1,5.737865315E-1
2.999996083E0,-1.098616538E-1,-2.544883668E-1,-8.954887980E-1,9.374081818E-1
3.009965083E0,-3.882214247E-1,-6.278304367E-2,-1.452816743E-1,4.192425910E-1
