"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.389410583E0,2.337893696E-1,8.205057856E-1,3.071834743E-2,8.537158956E-1
2.399379583E0,6.786307722E-2,2.014365792E-2,-3.808870429E-1,3.874094780E-1
2.409347583E0,-1.223542301E-1,-6.676320134E-1,-2.145051062E-1,7.118395209E-1
2.419316583E0,-2.266211218E-1,-3.223701552E-1,1.365747024E0,1.421458611E0
2.429285583E0,-1.353392150E-1,1.812673397E-3,4.299270558E-1,4.507296997E-1
2.439253583E0,-2.552096940E-1,-4.447048701E-2,-1.060656268E0,1.091833930E0
2.449222583E0,-2.231634073E-1,9.404365640E-2,-8.467212653E-1,8.806719121E-1
2.459191583E0,-2.002026340E-1,6.114681914E-2,1.527778047E-1,2.591545596E-1
2.469160583E0,1.531867444E-1,-2.079109088E-1,6.789465219E-1,7.264031279E-1
2.479128583E0,8.191279623E-1,-1.180468421E-1,2.333653003E-1,8.598633839E-1
2.489097583E0,1.111026011E0,3.602302552E-1,3.145082814E-1,1.209570210E0
2.499066583E0,2.055869329E-1,2.732431283E-1,2.908405066E-2,3.431816955E-1
2.509034583E0,3.043654818E-2,4.115234927E-1,-2.176719582E-1,4.665394409E-1
2.519003583E0,1.086529613E-1,5.749539742E-1,-7.465146071E-1,9.485049273E-1
2.528972583E0,9.792090856E-2,4.622311682E-1,-1.928516972E-1,5.103312006E-1
2.538940583E0,2.172130980E-2,2.580307563E-1,1.309074640E-1,2.901524610E-1
2.548909583E0,-2.322356913E-2,1.643129725E-1,1.350893927E-1,2.139795109E-1
2.558878583E0,1.447580561E-1,1.898500656E-1,4.087203741E-4,2.387427680E-1
2.568846583E0,-4.266439173E-2,1.382107826E-1,9.437055230E-2,1.727086329E-1
2.578815583E0,-1.163321827E-1,7.788893245E-2,3.417726785E-1,3.693351138E-1
2.588784583E0,-1.572802339E-2,2.358485762E-1,-1.840750265E-1,2.995922846E-1
2.598753583E0,-6.339900582E-1,-2.026575875E-1,-2.536136234E-1,7.122733756E-1
2.608721583E0,-5.408668266E-1,-6.906318169E-2,-3.833551526E-2,5.466042983E-1
2.618690583E0,-2.873924766E-1,-9.071501926E-2,-1.044400424E-1,3.189535589E-1
2.628659583E0,-4.010729469E-2,-1.066735691E-1,-1.394210100E-2,1.148138825E-1
2.638627583E0,2.874404237E-1,7.751715917E-2,4.166942221E-1,5.121181328E-1
2.648596583E0,2.091358273E-1,2.803199769E-1,3.626636106E-1,5.038273297E-1
2.658565583E0,3.272195800E-1,2.603189179E-1,-4.275115710E-1,5.980006153E-1
2.668533583E0,5.220126259E-1,2.531470521E-1,-6.495490605E-1,8.709159509E-1
2.678502583E0,1.699090137E-1,-9.200327050E-2,3.168091607E-1,3.710818226E-1
2.688471583E0,1.957979630E-1,8.925741803E-2,5.970106584E-1,6.346065357E-1
2.698439583E0,1.468957251E-1,1.836785853E-2,1.856882733E-1,2.374781403E-1
2.708408583E0,1.225571650E-1,-1.242980273E-1,-4.661669290E-1,4.977769219E-1
2.718377583E0,-2.054593905E-1,-1.811691796E-1,-2.451684898E-1,3.676185811E-1
2.728346583E0,-4.278872547E-1,-5.288221836E-2,4.049120826E-1,5.914709006E-1
2.738314583E0,-6.720117241E-2,2.356583225E-1,-4.019025207E-2,2.483265972E-1
2.748283583E0,-2.638913840E-1,5.649075441E-2,-6.652195984E-1,7.178767178E-1
2.758251833E0,-4.052190614E-1,-2.127918720E-1,-6.268478304E-1,7.761578905E-1
2.768219833E0,-1.063660787E-1,-1.500552680E-1,6.515476388E-1,6.770115595E-1
2.778188833E0,1.137067828E-1,-6.377137844E-2,9.806160718E-1,9.892441061E-1
2.788157833E0,2.500822340E-1,-6.140490063E-3,-1.206929630E-1,2.777510049E-1
2.798125833E0,5.616680405E-1,7.084935989E-2,-6.829261369E-1,8.870618512E-1
2.808094833E0,6.406039900E-1,2.046940631E-1,-1.400536788E-1,6.869411651E-1
2.818063833E0,4.340489774E-1,3.158749949E-1,5.354874247E-1,7.582363149E-1
2.828032833E0,1.064625212E-1,2.447785902E-1,3.267932814E-1,4.219534043E-1
